in s,C3 in V
-7.58694E-03,-1.904E-03
-7.58674E-03,-3.076E-03
-7.58654E-03,-3.271E-03
-7.58634E-03,-1.904E-03
-7.58613E-03,-2.685E-03
-7.58593E-03,-2.490E-03
-7.58573E-03,-2.880E-03
-7.58553E-03,-2.880E-03
-7.58533E-03,-2.295E-03
-7.58513E-03,-1.709E-03
-7.58492E-03,-2.099E-03
-7.58472E-03,-1.904E-03
-7.58452E-03,-1.709E-03
-7.58432E-03,-2.490E-03
-7.58412E-03,-1.318E-03
-7.58392E-03,-2.685E-03
-7.58372E-03,-1.318E-03
-7.58351E-03,-1.513E-03
-7.58331E-03,-2.295E-03
-7.58311E-03,-2.490E-03
-7.58291E-03,-2.295E-03
-7.58271E-03,-2.490E-03
-7.58251E-03,-2.099E-03
-7.58230E-03,-2.099E-03
-7.58210E-03,-2.099E-03
-7.58190E-03,-2.880E-03
-7.58170E-03,-2.099E-03
-7.58150E-03,-2.099E-03
-7.58130E-03,-9.273E-04
-7.58109E-03,-1.123E-03
-7.58089E-03,-1.318E-03
-7.58069E-03,-2.099E-03
-7.58049E-03,-1.904E-03
-7.58029E-03,-1.904E-03
-7.58009E-03,-1.123E-03
-7.57988E-03,-1.904E-03
-7.57968E-03,-1.904E-03
-7.57948E-03,-1.904E-03
-7.57928E-03,-1.318E-03
-7.57908E-03,-7.320E-04
-7.57888E-03,-7.320E-04
-7.57868E-03,-1.461E-04
-7.57847E-03,-5.367E-04
-7.57827E-03,-1.461E-04
-7.57807E-03,-5.367E-04
-7.57787E-03,-1.709E-03
-7.57767E-03,-3.414E-04
-7.57747E-03,-5.367E-04
-7.57726E-03,-7.320E-04
-7.57706E-03,-1.318E-03
-7.57686E-03,-1.123E-03
-7.57666E-03,-9.273E-04
-7.57646E-03,-9.273E-04
-7.57626E-03,-3.414E-04
-7.57605E-03,-7.320E-04
-7.57585E-03,-1.318E-03
-7.57565E-03,-1.513E-03
-7.57545E-03,-1.513E-03
-7.57525E-03,-1.513E-03
-7.57505E-03,-1.318E-03
-7.57484E-03,-1.513E-03
-7.57464E-03,-2.880E-03
-7.57444E-03,-2.099E-03
-7.57424E-03,-2.685E-03
-7.57404E-03,-2.295E-03
-7.57384E-03,-1.904E-03
-7.57364E-03,-1.318E-03
-7.57343E-03,-1.318E-03
-7.57323E-03,-1.123E-03
-7.57303E-03,-1.709E-03
-7.57283E-03,-1.318E-03
-7.57263E-03,-1.513E-03
-7.57243E-03,-1.513E-03
-7.57222E-03,-1.513E-03
-7.57202E-03,-1.513E-03
-7.57182E-03,-2.099E-03
-7.57162E-03,-2.685E-03
-7.57142E-03,-2.295E-03
-7.57122E-03,-2.295E-03
-7.57101E-03,-2.295E-03
-7.57081E-03,-2.490E-03
-7.57061E-03,-2.490E-03
-7.57041E-03,-2.490E-03
-7.57021E-03,-3.857E-03
-7.57001E-03,-2.295E-03
-7.56980E-03,-2.490E-03
