in s,C3 in V
-3.93855E-03,-9.273E-04
-3.93835E-03,-1.318E-03
-3.93815E-03,-1.513E-03
-3.93795E-03,-1.709E-03
-3.93774E-03,-9.273E-04
-3.93754E-03,-1.709E-03
-3.93734E-03,-1.513E-03
-3.93714E-03,-1.709E-03
-3.93694E-03,-1.123E-03
-3.93674E-03,-1.709E-03
-3.93653E-03,-3.414E-04
-3.93633E-03,-2.295E-03
-3.93613E-03,-2.099E-03
-3.93593E-03,-2.490E-03
-3.93573E-03,-2.295E-03
-3.93553E-03,-2.490E-03
-3.93532E-03,-7.320E-04
-3.93512E-03,-2.685E-03
-3.93492E-03,-1.709E-03
-3.93472E-03,-1.318E-03
-3.93452E-03,-5.367E-04
-3.93432E-03,-1.318E-03
-3.93412E-03,-9.273E-04
-3.93391E-03,-3.414E-04
-3.93371E-03,-7.320E-04
-3.93351E-03,-1.123E-03
-3.93331E-03,-1.123E-03
-3.93311E-03,-1.318E-03
-3.93291E-03,-1.904E-03
-3.93270E-03,-1.513E-03
-3.93250E-03,-9.273E-04
-3.93230E-03,-2.295E-03
-3.93210E-03,-1.904E-03
-3.93190E-03,-1.513E-03
-3.93170E-03,-1.318E-03
-3.93149E-03,-1.318E-03
-3.93129E-03,-1.318E-03
-3.93109E-03,-1.513E-03
-3.93089E-03,-9.273E-04
-3.93069E-03,-5.367E-04
-3.93049E-03,4.922E-05
-3.93028E-03,4.922E-05
-3.93008E-03,2.445E-04
-3.92988E-03,-9.273E-04
-3.92968E-03,-5.367E-04
-3.92948E-03,-9.273E-04
-3.92928E-03,-1.318E-03
-3.92908E-03,-1.513E-03
-3.92887E-03,-3.414E-04
-3.92867E-03,-5.367E-04
-3.92847E-03,-1.461E-04
-3.92827E-03,2.445E-04
-3.92807E-03,-3.414E-04
-3.92787E-03,-9.273E-04
-3.92766E-03,-9.273E-04
-3.92746E-03,-1.513E-03
-3.92726E-03,-1.123E-03
-3.92706E-03,-7.320E-04
-3.92686E-03,-3.414E-04
-3.92666E-03,-7.320E-04
-3.92645E-03,-1.709E-03
-3.92625E-03,-9.273E-04
-3.92605E-03,-7.320E-04
-3.92585E-03,-7.320E-04
